COD_AJ_APUR;"DESCRICAO";INICIO;FIM
GO020055;"Cr. out. ao contribuinte do ICMS que apoiar financeiramente o PROESPORTE. - RCTE - Art. 11, XXXVII - Anexo IX";2009-01-01;2018-12-31
GO020056;"Cr. out. ao industrial de veículo automotor beneficiário do PRODUZIR, em 92,53% da parcela não incentivada pelo programa. Reg. 1200 - RCTE - Art. 11, XXXVIII, ""a"", § 14 a 18 - Anexo IX";2009-01-01;2016-03-31
GO020057;"Cr. out. ao industrial de veículo automotor beneficiário do PRODUZIR, em 98% do saldo devedor da saída do veículo e peças para o exterior. Reg. 1200 - RCTE - Art. 11, XXXVIII, ""b"" - Anexo IX";2009-01-01;2016-12-31
GO020058;"Cr. out. ao industrial de veículo automotor com PRODUZIR, a ser apropriado desde o inicio das atividades da industria em Goiás, no valor investido em infra-estrutura. Reg. 1200 - RCTE - Art. 11, XXXVIII, ""c"" - Anexo IX";2009-01-01;2016-12-31
GO020059;"Cr. out. ao industrial, em 60% para compensação do ICMS devido, na saída interna de adesivo hidroxilado, cuja matéria-prima específica seja material resultante da moagem ou trituração de garrafa PET. - RCTE - Art. 12, VI, e § 4º - Anexo IX";2009-01-01;
GO020060;"Normal do ICMS do DARE pago, ao regularizar a operação, não se efetuar dentro do período de apuração e emitir o documento fiscal também. - RCTE - Art. 141, § 2º";2009-01-01;
GO020061;"Cr. especial/pré-operacional para investimento autorizado por TARE. REG. 1200 - RCTE - Art. 19 a 29 - Anexo IX e TARE";2009-01-01;2012-12-31
GO020062;"Normal à CONAB/PGPM no valor do ICMS pago, referente ao estoque de mercadoria existente no ultimo dia de cada mês. Sem despensa o débito na saída. - RCTE - Art. 20 - Anexo XIII";2009-01-01;
GO020063;"Cr. do imposto correspondente ao valor pago em outro Estado, nas vendas fora do estabelecimento. - RCTE - Art. 28, § 3º e § 4º, V, ""b"" - Anexo XII";2009-01-01;
GO020064;"Pagamento antecipado do ICMS - saída interestadual - Registro 1200 - RCTE - Art. 340 §1º e IN 598/03";2009-01-01;2012-12-31
GO020065;"Cr. relativo à restituição do valor do imposto pago, por força da substituição tributária, correspondente ao fato gerador presumido que não se realizar - RCTE - Art. 42, I";2009-01-01;
GO020066;"Cr. relativo à restituição do valor do imposto pago, por força da substituição tributária, correspondente ao fato gerador presumido que não se realizar, quando não houver deliberação no prazo de 90 dias - RCTE - Art. 42, II";2009-01-01;
GO020067;"Antecipação de ICMS retido na aquisição de álcool não carburante procedente de outra UF. - RCTE - Art. 45, I, ""a""; Art. 46, I, II e § 1º, 2º e 3º e Art. 58, § 1º - Anexo VIII";2009-01-01;2009-03-28
GO020068;"Antecipação de ICMS retido na aquisição de álcool não carburante procedente do exterior. - RCTE - Art. 45, I, ""a""; Art. 46, I, II e § 1º, 2º e 3º e Art. 58, § 1º - Anexo VIII";2009-01-01;2009-03-28
GO020069;"Cr. decorrente do imposto retido, por utilizar mercadoria sujeita à substituição tributária em processo de produção ou industrialização, inclusive manipulação - RCTE - Art. 45, III, e Art. 46, I, II e § 1º, 2º e 3º - Anexo VIII";2009-01-01;
GO020070;"Cr. decorrente do imp. retido na aquis. de qualquer merc. ou contratação de serv. de transp., por contrib. goiano signatário de TARE que lhe atribua a condição de subst. tributário - RCTE - Art. 45, I,”b” e Art. 46, I, II e § 1º, 2º e 3º - Anexo VIII";2009-01-01;
GO020071;"Cr. decorrente do imposto retido, por realizar operação com mercadoria sujeita à substituição tributária, destinada a contribuinte do imposto estabelecido em outra UF - RCTE - Art. 45, II e Art. 46, I, II e § 1º, 4º e 5º - Anexo VIII";2009-01-01;2013-04-30
GO020071;"Cr. do ICMS normal e do retido,  por realizar operação com mercadoria sujeita à substituição tributária,  destinada a contribuinte do imposto estabelecido em outra UF -RCTE - Art. 45, II, §1º  e Art. 46, I,  II e § 1º, 4º e 5º - Anexo VIII";2013-05-01;2016-09-30
GO020071;"Cr. do ICMS normal e do retido, por realizar operação destinada a outra unidade da Federação, com mercadoria sujeita à substituição tributária. -RCTE - Art. 45, II, §1º  e Art. 46, I,  II e § 1º, 4º e 5º - Anexo VIII";2016-10-01;
GO020072;"Cr. decorrente do imposto retido  por destinar mercadoria sujeita à substituição tributária ao ativo imobilizado - RCTE - Art. 45, IV e Art. 46, I, II e § 1º, 2º e 3º - Anexo VIII";2009-01-01;
GO020073;"Cr. decorrente do imposto retido, por realizar operação subseqüente não onerada pelo imposto com mercadoria sujeita à substituição tributária - RCTE - Art. 45, V e Art. 46, I, II e § 1º - Anexo VIII";2009-01-01;2015-06-30
GO020074;"Cr. decorrente do imposto retido devido ao desfazimento do negócio ou devolução total ou parcial - RCTE - Art. 45, VI e Art. 46, I, II e § 1º, 4º e 5º - Anexo VIII";2009-01-01;
GO020075;"Cr. decorrente do imposto retido devido à inexistência de operação subseqüente em razão de quebra, sinistro, furto, roubo, perecimento ou qualquer outro motivo - RCTE - Art. 45, VII e Art. 46, I, II e § 1º - Anexo VIII";2009-01-01;
GO020076;"Cr. decorrente do imp. retido, por realizar op. com merc. sujeita à ST c/destino a contrib. detentor de med. Jud. liminar suspendendo a apl. do regime de subst. Tribut. - RCTE - Art. 45, VIII, Art. 46, I, II e § 1º e Art. 48 e 49, § 1º, II - Anexo VIII";2009-01-01;
GO020077;"Cr. decorrente do imp. retido, dev. à op. interna com merc. sujeita à ST, realiz. por contrib. ind. ou comerc. atac. com destino a empresa de constr. civil ou a órgão da adm púb. direta. - RCTE - Art. 45, X e Art. 46, I, II e V; § 1º, 4º e 5º - Anexo VIII";2009-01-01;
GO020078;"Cr. do imposto apropriado com base em documento de arrecadação que excepcionalmente substituir o documento fiscal próprio, estabelecido na legislação tributária para a operação ou prestação - RCTE - Art. 46, § 1º, III";2009-01-01;
GO020079;"Cr. decorrente da entrada de bem destinado ao Ativo Imobilizado, à razão de 1/48 por mês. - RCTE - Art. 46, § 4º";2009-01-01;
GO020080;"Cr. do imposto anteriormente cobrado em operações resultantes de aquisição de combustível por estabelecimento prestador de serviço de transporte interestadual e intermunicipal. - RCTE - Art. 46, § 6º";2009-01-01;
GO020081;"Cr. em relação ao diferencial de alíquotas devido em operações ou prestações resultantes de entrada de mercadoria, real ou simbólica, no seu estabelecimento destinada ao seu ativo imobilizado - RCTE - Art. 46, I e V";2009-01-01;2022-04-01
GO020082;"Cr. em relação ao diferencial de alíquotas devido em operações ou prestações resultantes de entrada de mercadoria, real ou simbólica, no seu estabelecimento destinada ao seu uso ou consumo final. - RCTE - Art. 46, I, V e Art. 522, I";2009-01-01;2022-04-30
GO020083;"Cr. do imp. anteriormente cobrad. em op. ou prest result. de entrada de merc, real ou simb, no seu estab, inclusive a destin uso/consumo final/at imob, realiz s/ aproveit. de cr, face a ved, qdo ocorrer a saída com déb. - RCTE - Art. 46, IV";2009-01-01;
GO020084;"Cr. em relação ao dif. de alíq. dev. em op. ou prest. Result. de entrada de merc, real ou simb. no seu estab. dest. seu uso ou consumo final e at. imob., realiz sem aproveit. de cr, face a ved const. na legislação. - RCTE - Art. 46, IV, V e Art. 522, I";2009-01-01;
GO020085;"Cr. do imposto relativo à restituição do indébito tributário sob a forma de aproveitamento de crédito, quando autorizado pela legislação tributária - RCTE - Art. 47, I";2009-01-01;2018-12-31
GO020085;"Cr. do imposto relativo à restituição do indébito tributário sob a forma de aproveitamento de crédito, quando autorizado pela legislação tributária - RCTE - Art. 47, I c/c Art. 490, §2º do RCTE.";2019-01-01;
GO020086;"Relativo ao valor pago, indevidamente, pelo erro de fato ocorrido na escrituração livros fiscais ou no preparo do documento de arrecadação, mediante escrituração no período de sua constatação. - RCTE - Art. 47, III, ""a"" e ""b""";2009-01-01;2012-12-31
GO020086;"Ref. ao valor pago, indevidamente, p/ erro de fato ocorrido na escrituração dos livros fiscais/preparo do doc. de arrecadação, mediante escrituração no per. de sua constatação, inclusive qdo autor. p/ Delegado Fiscal. -RCTE Art. 47, III, ""a"" e ""b"", §2º, I";2013-01-01;
GO020087;"Relativo imposto destacado na nota fiscal de remessa para usuário do serviço de recepção de som e imagem por satélite na devolução do equipamento ao fornecedor. - RCTE - Art. 47, V";2009-01-01;
GO020088;"Cr. ao imposto relativo à restituição do valor do depósito extrajudicial sob a forma de aproveitamento de crédito, quando autorizado pela legislação tributária - RCTE - Art. 47, VI";2009-01-01;
GO020089;"Cr. do imp. result. da apl. da alíq. interna sobre a b. de cálc., multip pelo tempo que faltar p/completar o quadriênio, na razão de 1/48 por mês ou fração, na transf de at imob cuja entrada no estab tenha ocor a partir de 01/01/01 - RCTE - Art. 47, VII";2009-01-01;
GO020090;"Cr. aut por Del Fiscal, confir. por dilig. prop ao imp est. ou não cred. em op ou prest ant. qdo da realiz de op trib c/prod agrop, antecedida de op/prest isentas ou não trib e estas, por sua vez, antecedida de op ou prest trib - RCTE - Art. 50, III, § 1º";2009-01-01;
GO020091;"Cr. qdo da inexist de delib no praz. Estabel. p/manifestação do del. fiscal, prop. ao imp. Estorn. ou não cred. em op. ou prest. anteriores, qdo da realiz de op. trib. c/ prod. agrop. antecedida de op/prest isentas ou não trib - RCTE - Art. 50, III, § 2º";2009-01-01;
GO020092;"Cr. pela restituição do depósito do montante integral se a decisão em ultima instância administrativa for favorável ao contribuinte. - RCTE - Art. 505, § 4º, I, ""a""";2009-01-01;
GO020093;"Cr. do imposto, exceto o outorgado, apropriado mediante autorização do Delegado Fiscal da circunscrição do contribuinte, através de processo administrativo - RCTE - Art. 52 e outras situações previstas na legislação.";2009-01-01;
GO020094;"Cr. do imposto pelo recebimento de serviço de comunicação utilizado no estabelecimento, até 31/12/2010 havendo operação de saída/prestação para o exterior, na proporção destas sobre as saídas ou prestações totais. - RCTE - Art. 522, II, ""a"", 3";2009-01-01;2013-11-30
GO020095;"Cr. relativo à entrada de energia elétrica no estabelecimento, até 31/12/2010 quando houver operação de saída ou prestação para o exterior, na proporção destas sobre as saídas ou prestações totais. - RCTE - Art. 522, II, ""b"", 2";2009-01-01;2013-11-30
GO020096;"Cr. decor. do imp. cobrado na op. ou prest. anterior, no caso em que ocorreu a perda, extrav. ou retenção da 1ª via do doc. fiscal respec. e não houve deliber. no prazo estab. sobre a solic. aut. ao Del. Fiscal p/aprov. do cr - RCTE - Art. 53, § 3º e 4º";2009-01-01;
GO020097;"Cr. presumido ao estabelecimento prestador de serviço de transportes interestadual e intermunicipal, exceto o aéreo, 20% sobre o valor devido na prestação, em ST ao sistema normal de creditamento. - RCTE - Art. 64, I";2009-01-01;
GO020098;"Cr. presumido ao estabel. prestador de serv. de transp. aéreo, no perc. de 4% , aplicado sobre o valor da prest. interna, que deve ser adotado, opcionalmente, pelo contribuinte, em substituição ao sistema normal de creditamento - RCTE - Art. 64, II";2009-01-01;
GO020099;"Regime de Estimativa relativo ao valor pago em excesso no regime de estimativa - RCTE - Art. 70, I, ""b"", 1";2009-01-01;2009-01-01
GO020100;"Cr. decor. do imp. retido qdo uma espécie de merc for excluída do reg. de ST (Tb p/registrar as parc. mensais corresp. ao vl do cr. do ICMS, conf. art. 3º, III do Dec. nº 6663) - RCTE - Art. 81, I, II e III e § 1º - Anexo VIII e Art. 2 e 3 - Dec. 6.663/07";2009-01-01;2018-02-28
GO020100;"Cr. decor. do imp. retido qdo uma espécie de merc for excluída do reg. de ST (Tb p/registrar as parc. mensais corresp. ao vl do cr. do ICMS) - RCTE–Art. 81, I, II e III e § 1º - Anexo VIII";2018-03-01;
GO020101;"Cr. decor. do imp. retido qdo ocorrer red. da carga trib. na op interna c/merc. sujeita ao reg de ST, nos casos em que o contrib substituído mantiver estoque merc. dessa natureza, dest. à comercialização. - RCTE - Art. 81, I, II e III e § 2º - Anexo VIII";2009-01-01;
GO020102;"Cr. apropriado em função de concessão por meio de TARE (Código exclusivo p/as quais não exista previsão de nenhum outro código específico nesta tabela). - TARE's diversos";2009-01-01;
GO020103;"Cr. out. p/ ind. fab. de vestuário ou p/ estab. atac. a ele pertencente, o equiv. à aplic. do percentual de 12% sobre o valor da base de cálc. corresp. à op. interest. com prod. de fab. própria destinado à comerc. ou ind.-RCTE - Art. 11, LII - Anexo IX";2009-01-01;2009-04-30
GO020103;"Cr. out. p/ ind. fab. de vestuário ou p/ estab. atac. a ele pertencente, o equiv. à aplic. do percentual de 12% sobre o valor da base de cálc. corresp. à op. interest. com prod. de fab. própria destinado à comerc. ou ind. - RCTE - Art. 11, LII - Anexo IX";2009-05-01;
GO020104;"Cr. out. p/ ind. fab. de vestuário ou p/ estab. atac. a ele pertencente, o equiv. à aplic. do perc. de 10% sobre o vl. da base de cálc. corresp. à op. de venda interna com prod. de fab. própria destinado à comerc. ou ind.-RCTE - Art. 11, LIII - Anexo IX";2009-01-01;2009-04-30
GO020104;"Cr. out. p/ ind. fab. de vestuário ou p/ estab. atac. a ele pertencente, o equiv. à aplic. do perc. de 10% sobre o vl. da base de cálc. corresp. à op. de venda interna com prod. de fab. própria destinado à comerc. ou ind. - RCTE - Art. 11, LIII - Anexo IX";2009-05-01;
GO020105;"Cr. out. p/ ind. fab. de vestuário, o equiv. à aplic. do percentual 10% sobre o valor da base de cálc. corresp. à transferência interna de produto de fab. própria destinado à comerc. em estab. varejista a ele pertencente. - RCTE - Art. 11, LIV - Anexo IX";2009-01-01;2009-04-30
GO020105;"Cr. out. p/ ind. fab. de vestuário, o equiv. à aplic. do percentual 10% sobre o valor da base de cálc. corresp. à transferência interna de produto de fab. própria destinado à comerc. em estab. varejista a ele pertencente. - RCTE - Art. 11, LIV - Anexo IX";2009-05-01;
GO020106;"Cr. Referente a dedução de ICMS Próprio por repasses efetuados à outras UF - Conv. ICMS 110/07, Cláusula 22ª, III e Art. 61-D, § 1º, Anexo VIII do RCTE";2009-01-01;
GO020107;"Cr. decorrente do imposto normal, anteriormente estornado em função da saída com benefício, devido ao desfazimento do negócio ou devolução total ou parcial - RCTE - Art. 47, II.";2009-01-01;
GO020108;"Cr. para o estabelecimento remetente, o equiv. à aplic. do perc. de 4% s/ o valor da base de cálculo correspondente à oper. interestadual com veículo automotor caminhão com peso em carga maxima superior a 5 toneladas.-RCTE - Art. 11, LV - Anexo IX";2009-01-01;2009-10-30
GO020108;"Cr. para o estabelecimento remetente, o equiv. à aplic. do perc. de 4% s/ o valor da base de cálculo correspondente à oper. interestadual com veículo automotor caminhão com peso em carga maxima superior a 5 toneladas. - RCTE - Art. 11, LV - Anexo IX";2009-11-01;
GO020109;"Cr. para o estabelecimento remetente, o equiv. à aplic. do percentual de 4% s/ o valor da base de cálculo correspondente à oper. interestadual com veículo automotor ônibus ou com chassi com motor para ônibus. - RCTE - Art. 11, LVI - Anexo IX";2009-11-01;
GO020110;"Cr. out. p/ o estabel. industrial NÃO benefic. do FOMENTAR, nas saídas interna e interest. de óleo vegetal comestível, result. da industr. em GO de produto agrícola produzido e adquir. em GO, conf. TARE, equiv a 5% - RCTE - Art. 11, VIII , “a” - Anexo IX";2009-01-01;
GO020111;"Cr. out. p/ o estabel. industrial benefic. do FOMENTAR, nas saídas interna e interest. de óleo vegetal comestível, result. da industr. em GO de produto agrícola produzido e adquirido em GO, conf. TARE, equiv. a 3% - RCTE - Art. 11, VIII , “c” - Anexo IX";2009-01-01;
GO020112;"Cr. out. p/ efeito de compensação c/ o ICMS devido, obs o § 4º qto. ao térm.da vig. do benef., por empresa produtora de disco fonográfico ou de outro suporte com som gravado, o valor do dir. autoral, artíst. ou conexo. - RCTE - Art. 12, I e §1º - Anexo IX";2009-01-01;
GO020113;"Cr. out. p/ o estabel. industrial q. realizar a op. interestadual, o eq. ao perc. de 9% s/ o vl. da b. de cálc, na saída interest. com ave viva prov. de prod. rural goiano que a produziu em sist. Integ/parceria c/ o indust-RCTE - Art. 12, VII - Anexo IX";2009-01-01;2009-12-31
GO020113;"Cr. out. p/ o estabel. industrial q. realizar a op. interestadual, o eq. ao perc. de 9% s/ o vl. da b. de cálc, na saída interest. com ave viva prov. de prod. rural goiano que a produziu em sist. Integ/parceria c/ o indust";2010-01-01;2016-06-30
GO020114;"Cr. out. p/ o estabel. industrial fabricante de adubo e fertilizante ref. ao valor equiv. ao montante do imposto a pagar apur. em sua escritur. fiscal, decorr. de oper. com esses produtos realizada com red. de base de cálc. - RCTE - Art. 11-A - anexo IX";2009-01-01;2010-11-30
GO020114;"Cr. out. p/ o estabel. industrial fabricante de adubo e fertilizante ref. ao valor equiv. ao montante do imposto a pagar apur. em sua escritur. fiscal, decorr. de oper. com esses produtos realizada com red. de base de cálc. - RCTE - Art. 11-A - anexo IX";2010-12-01;2021-12-31
GO020115;"Cr. out. p/ o industrial de veículo automotor benef. do PRODUZIR, que implantar ou ampliar estabel. em GO, equiv. a  R$20.000.000,00, em 20 parcelas mensais, iguais e sucessivas (registro 1200). -RCTE - Art. 11, LVII, c, Anexo IX";2011-11-01;2012-07-31
GO020116;"Cr. out. p/ o industrial de veículo automotor benef. do FOMENTAR, que ampliar estabel. em GO, equiv. a R$120.000.000,00, em 60 parcelas mensais, iguais e sucessivas. (registro 1200). -RCTE - Art. 11, LVIII, c, Anexo IX";2011-11-01;2012-12-31
GO020117;"Cr. out. para a pessoa jurídica integrante de grupo econômico, o equiv. à aplicação do perc. de 10% sobre o valor da base de cálculo correspondente à op. interestadual com produto de fabricação do próprio grupo econômico. -RCTE - Art. 11, LXI, Anexo IX";2011-11-01;
GO020118;"Cr. out. p/ para a empresa benefic. do PRODUZIR,  que implantar, em GO, empreend. industrial p/ a prod. de componente p/ aeronave/mont. de avião, vl. de R$ 90.000.000,00 a ser util. na implantação. (registro 1200). -RCTE - Art. 11, LIX, c, Anexo IX";2011-12-01;2012-12-31
GO020119;"Cr. out. mediante TARE ao prestador de serviço de telec., o equiv. ao perc. (1,5% ou 1%), do valor dos déb. de ICMS relac. à prest. de serviços de telec., em subst. ao estorno de déb. decor. de sit. s/ o f. g. do ICMS. -RCTE - Art. 11, XLVII - Anexo IX";2011-01-01;2018-12-31
GO020119;"Cr. out. mediante TARE ao prestador de serviço de telec., o equiv. ao perc. estabelecido na legislação, do valor dos déb. de ICMS relac. à prest. de serviços de telec., em subst. ao estorno de déb. decor. de sit.  em que não ocorreu o f. g. do ICMS. -RCTE - Art. 12, XVII do Anexo IX";2019-01-01;
GO020120;"Cr. do ICMS próprio, referente à manutenção deste, na isenção do ICMS na operação interna de aquisição de veículo automotor utilitário novo, destinado à pessoa que exerça a atividade de feirante ou feirante especial. - RCTE - Art. 6º, CXXXI do Anexo IX";2011-12-01;2015-06-30
GO020121;"Cr. out. para a pessoa jurídica integrante de grupo econômico, relativamente à operação com produto de fabricação própria, o equiv. à aplicação do percentual de 8% sobre o valor da operação interna. -RCTE- Art. 11, LXI, a, do Anexo IX";2011-11-01;
GO020122;"Cr. Out. para o estabelecimento remetente, na saída interestadual de mercadoria resultante da industrialização do açafrão, cujo processo industrial tenha sido realizado em GO, o equiv. à aplic. de 10% s/ o valor da b. c.  - RCTE - Art. 11, LXII - Anexo IX";2012-03-01;
GO020123;"Cr. out. p/ o industrial de veículo automotor e fabric. de extintores benef. do PRODUZIR, que implantar ou ampliar estabel. em GO, equiv. a R$20.000.000,00, em 20 parcelas mensais, iguais e sucessivas (registro 1200). -RCTE - Art. 11, LVII, c, Anexo IX";2012-05-01;2012-12-31
GO020124;"Cr. out. para o estabelecimento industrial, na operação interestadual com produtos derivativos do leite, o percentual de 7% sobre o valor da base de cálculo. Inclusive na transferência mediante TARE -RCTE - Art. 11, XXXV - Anexo IX";2012-08-01;
GO020125;"Cr. out. para o estabelecimento industrial, na operação interestadual com leite UHT em cuja industrialização tenha sido utilizado leite como matéria-prima, o percentual de 9% aplicado sobre o valor da base de cálculo. -RCTE - Art. 11, LXIII - Anexo IX";2012-08-01;2019-11-30
GO020125;"Cr. out. para o estabelecimento industrial, na operação interestadual com leite UHT em cuja industrialização tenha sido utilizado leite como matéria-prima, o percentual de 7% aplicado sobre o valor da base de cálculo. -RCTE - Art. 11, LXIII - Anexo IX";2019-12-01;
GO020126;"Crédito decorrente do imposto retido, por realizar oper. c/ mercadorias sujeitas à sub. tribut., para o remetente da mercadoria que pratica alíq. superior à aplic. pelo destinatário da mercadoria. Art. 45, IX; art. 46 e §§ 1º, 4º e 5º do Anexo VIII - RCTE";2012-01-01;
GO020127;"Crédito do imposto relativo à restituição do indébito tributário, sob a forma de aproveitamento de crédito, quando direito à compensação/restituição do imposto foi determinado por liminar ou decisão judicial transitada em julgado. Arts. 467 e 468 do CPC";2013-08-01;
GO020128;"Cr. do imposto pelo recebimento de serviço de comunicação utilizado no estabelecimento, até a data prevista no RCTE, havendo operação de saída/prestação para o exterior, na proporção destas sobre as saídas ou prestações totais. RCTE - Art. 522, II, ""b"", 2";2013-12-01;
GO020129;"Cr. relativo à entrada de energia elétrica no estabelecimento, até a data prevista no RCTE, quando houver operação de saída ou prestação para o exterior, na proporção destas sobre as saídas ou prestações totais. RCTE - Art. 522, II, ""a"", 3";2013-12-01;
GO020130;"Crédito outorgado para o estabelecimento remetente na operação interestadual com milho destinado à industrialização, o equivalente à aplicação do percentual (definido no inciso) sobre o valor da base de cálculo. RCTE - Art. 12, VIII - Anexo IX";2013-08-01;2020-12-31
GO020131;"Créd. ICMS NORMAL relativo à aquisição, por destinar mercadoria sujeita à sub. tribut. a contribuinte de outra UF, quando o substituído optar pelo ressarcimento do ICMS retido ao substituto original (art. 47 do Anexo VIII) RCTE - Art. 45, § 1º -Anexo VIII";2014-03-01;
GO020132;"Cr. outorgado p/ o estabelecimento atacadista o equiv. à aplicação de 5% sobre o valor da respectiva base de cálculo, na saída interestadual de produtos de informática, telec. e automação, relac. no Apêndice IV do Anexo IX. RCTE - Art. 11, LXV - Anexo IX.";2014-03-01;
GO020133;"Cr. out. p/ o estabelec. industrial, o equiv. à aplic. de 9% s/ o valor da respec. B.C., na saída de prod. comestível por ele indust., cuja mat.prima principal seja prod. result. do ab. de animal, realiz. no territ. goiano. RCTE - Art. 11, LXVI - Anexo IX";2014-03-01;
GO020134;"Crédito do ICMS normal correspondente ao valor da primeira parcela, paga pelo estabelecimento industrial beneficiário do programa FOMENTAR ou PRODUZIR.";2015-03-01;2015-03-31
GO020134;"Crédito do ICMS normal correspondente ao valor da primeira parcela, paga pelo estabelecimento industrial beneficiário do programa FOMENTAR ou PRODUZIR. Art. 4º da IN nº 1.208/15 - GSF";2015-04-01;2016-02-29
GO020135;"Crédito do ICMS normal e do retido, quando permitida a sua manutenção, por realizar operação subsequente não onerada pelo imposto com mercadoria sujeita à substituição tributária. -RCTE - Art. 45, V e Art. 46, I, II e § 1º - Anexo VIII";2009-01-01;
GO020136;"Crédito do ICMS normal correspondente ao valor da primeira parcela, paga pelo estabelecimento industrial beneficiário do programa CENTROPRODUZIR ou PROGREDIR. Art. 4º da IN 1.220/15-GSF";2015-05-01;2016-04-30
GO020137;"Crédito do ICMS normal correspondente ao valor da primeira parcela, paga pelo estabelecimento beneficiário do subprograma LOGPRODUZIR. Art. 4º da IN 1.219/15-GSF";2015-05-01;2016-04-30
GO020138;"Cr. out. ao comerciante atacadista equivalente a 3% na saída interestadual, exceto em transferência, de mercadoria para comercialização, produção ou industrialização. -RCTE - Art. 11, III - Anexo IX";2016-01-01;
GO020139;"Cr. out. ao comerciante atacadista equivalente a 3% na saída interestadual, exclusivamente em transferência, de mercadoria para comercialização, produção ou industrialização. -RCTE - Art. 11, III - Anexo IX";2016-01-01;
GO020140;"Cr. out. ao contrib. comerciante equiparado a atacadista (varejista), em 3%, na saída interest., exceto em transferência, que destine merc. p/ comercialização, produção ou indust., aplicado s/ o valor da corresp. oper. -RCTE - Art. 11, III, ""a"" - Anexo IX";2016-01-01;
GO020141;"Cr. out. ao contrib. comerciante equiparado a atacadista (varejista), em 3%, na saída interest., exclusivamente em transferência, que destine merc. p/ comerc., produção ou indust., aplicado s/ o valor da corresp. oper. -RCTE - Art. 11, III, ""a"" - Anexo IX";2016-01-01;
GO020142;"Cr. out. para o estab. industrializador de produto agrícola, o equiv. à aplic. de até 6% s/ o valor do prod. agrícola prod. em GO efet. indust. em seu estab. ou no de terceiro, localizados em Goiás, por sua conta e ordem. -RCTE - Art. 11, XXXI - Anexo IX";2015-12-01;2020-08-31
GO020142;"Cr. out. para o estab. industrializador de produto agrícola, o equiv. aos percentuais estabelecidos s/ o valor do prod. agrícola prod. em GO efet. indust. em seu estab. ou no de terceiro, localizados em Goiás, por sua conta e ordem. -RCTE - Art. 11, XXXI - Anexo IX";2020-09-01;
GO020143;"Créditos transferidos da Apuração do DIFAL (EC 87/15), Origem Goiás (Registro E300=GO), para a Apuração do ICMS Operações Próprias (Registro E110), por meio do ajuste estorno de crédito GO210000. EC 87/15 e art. 12, Anexo XV do RCTE.";2016-01-01;2018-12-31
GO020144;"Crédito do ICMS normal correspondente ao valor da primeira parcela, paga pelo estabelecimento industrial beneficiário do programa FOMENTAR ou PRODUZIR.  Art. 4º da IN nº 1.269/16- GSF";2016-03-01;2016-12-31
GO020145;"Crédito do ICMS normal correspondente ao valor da primeira parcela, paga pelo estabelecimento beneficiário do subprograma LOGPRODUZIR.  Art. 4º da IN 1.267/16-GSF";2016-03-01;2017-01-31
GO020146;"Crédito do ICMS normal correspondente ao valor da primeira parcela, paga pelo estabelecimento industrial beneficiário do programa CENTROPRODUZIR ou PROGREDIR. Art. 4º da IN 1.268/16-GSF";2016-03-01;2017-01-31
GO020147;"Cred. out. na saída interestadual, efetuada por atacadista, de medicamento de uso humano e de material hospitalar: a) quando a aquisição pelo atacadista se deu com alíquota ou com carga tributária correspondente a 7%. RCTE – Art. 12, XII, ""a"" do Anexo IX.";2016-01-01;2016-09-30
GO020147;"Cred. out. na saída interestadual, efetuada por atacadista, de medicamento de uso humano e de material hospitalar: a) quando a aquisição pelo atacadista se deu com alíquota ou com carga tributária corresp. a 7% ou 10% RCTE – Art. 12, XII, ""a"" do Anexo IX.";2016-10-01;2018-12-31
GO020148;"Cred. out. na saída interestadual, efetuada por atacadista, de medicamento de uso humano e de material hospitalar: b) quando a aquisição pelo atacadista se deu com alíquota 4%. RCTE – Art. 12, XII, ""b"" do Anexo IX.";2016-01-01;2017-12-31
GO020149;"Cred. outorgado para a empresa fornecedora de energia elétrica e para a prestadora de serviço de telecomunicação, o equiv. à aplic. de até 10% sobre o valor do faturamento bruto do conjunto de seus establ. localiz. em GO. -RCTE - Art. 11, LXIX do Anexo IX";2019-12-01;
GO020149;"Cred. outorgado para a empresa fornecedora de energia elétrica e para a prestadora de serviço de telecomunicação, o equiv. à aplic. de até 3% sobre o valor do faturamento bruto do conjunto de seus estabel. localiz. em GO. -RCTE - Art. 11, LXIX do Anexo IX";2016-08-01;2019-11-30
GO020150;"Cred. outorgado para distribuidora de energia elétrica que implantar política de manut, melhoria e ampl. da distrib. de energ. elétrica, até o valor eq. aos invest. em manut., melhoria e ampl. da infraest. de distribuição. RCTE - Art. 12, XIII - Anexo IX";2017-05-01;2019-04-30
GO020150;"Cred. outorgado para distribuidora de energia elétrica que implantar política de manut, melhoria e ampl. da distrib. de energ. elétrica, até o valor eq. aos invest. em manut., melhoria e ampl. da infraest. de distribuição. RCTE - Art. 12, XIII - Anexo IX";2017-01-01;2017-04-30
GO020151;"Crédito outorgado para o estabelecimento microcervejeiro, na saída interna com cerveja e chope artesanais produzidos pelo próprio estabelecimento. RCTE - Art. 11, LXX do Anexo IX";2017-04-01;
GO020152;"Crédito outorgado para o estabelecimento que efetuar saída interestadual com café torrado ou moído industrializado. RCTE - Art. 11, LXXI do Anexo IX";2017-04-01;
GO020153;"Crédito outorgado para o estabelecimento que efetuar saída interestadual de peixe produzido no Estado de Goiás. RCTE - Art. 11, LXXII do Anexo IX";2017-04-01;2020-12-31
